
500 0
1000 0
1500 0
2000 0
2500 0
3000 0
3500 0.03
4000 0.05
4500 0.07
5000 0.09
5500 0.12
6000 0.15
6500 0.18
7000 0.21
7500 0.26
8000 0.31
8500 0.34
9000 0.4
9500 0.45
10000 0.5
10500 0.56
11000 0.62
11500 0.69
12000 0.78
12500 0.84
13000 0.91
13500 1.01
14000 1.07
14500 1.18
15000 1.25
15500 1.34
16000 1.44
16500 1.54
17000 1.63
17500 1.73
18000 1.86
18500 1.97
19000 2.08
19500 2.23
20000 2.32
20500 2.44
21000 2.58
21500 2.71
22000 2.85
22500 3.01
23000 3.14
23500 3.28
24000 3.42
24500 3.58
25000 3.72
25500 3.9
26000 4.04
26500 4.23
27000 4.38
27500 4.57
28000 4.76
28500 4.92
29000 5.1
29500 5.3
30000 5.48
30500 5.69
31000 5.85
31500 6.05
32000 6.28
32500 6.51
33000 6.64
33500 6.88
34000 7.11
34500 7.33
35000 7.53
35500 8.17
36000 8.02
36500 8.24
37000 8.46
37500 8.74
38000 8.97
38500 9.19
39000 9.44
39500 9.73
40000 9.97
40500 10.2
41000 9.48
41500 10.71
42000 11.03
42500 11.3
43000 11.57
43500 11.87
44000 12.18
44500 11.84
45000 12.71
45500 10.62
46000 12.28
46500 10.61
47000 10.78
47500 9.9
48000 8.21
48500 4.31
49000 10.38
49500 15.36
50000 15.94
