
500 	  0.0001
1000 	  0.0003
1500 	  0.0008
2000 	  0.0014
2500  0
3000  0
3500  0
4000  0
4500  0
5000  0
5500  0
6000  0
6500  0.01
7000  0.01
7500  0.01
8000  0.02
8500  0.02
9000  0.02
9500  0.04
10000  0.04
10500  0.04
11000  0.04
11500  0.04
12000  0.05
12500  0.06
13000  0.05
13500  0.08
14000  0.08
14500  0.08
15000  0.08
15500  0.09
16000  0.1
16500  0.1
17000  0.12
17500  0.13
18000  0.12
18500  0.13
19000  0.14
19500  0.16
20000  0.15
20500  0.16
21000  0.19
21500  0.18
22000  0.18
22500  0.19
23000  0.17
23500  0.21
24000  0.2
24500  0.14
25000  0.17
25500  0.16
26000  0.17
26500  0.26
27000  0.28
27500  0.23
28000  0.21
28500  0.34
29000  0.97
29500  0.84
30000  1.17
30500  1.01
31000  1.04
31500  1.14
32000  1.35
32500  0.76
33000  0.33
33500  0.3
34000  0.38
34500  0.38
35000  1.21
35500  1.36
36000  1.29
36500  0.46
37000  0.38
37500  1.09
38000  1.48
38500  0.47
39000  0.35
39500  0.44
40000  0.52
40500  0.46
41000  0.56
41500  0.41
42000  1.63
42500  1.47
43000  0.7
43500  0.62
44000  2.14
44500  1.75
45000  0.82
45500  0.7
46000  0.69
46500  0.74
47000  0.52
47500  0.71
48000  0.66
48500  1.51
49000  1.26
49500  0.9
50000  0.78
