1000000 0 28
2000000 0 12
3000000 0 14
4000000 0 15
5000000 11 16
6000000 14 16
7000000 16 16
8000000 20 17
9000000 22 16
10000000 24 12
11000000 26 13
12000000 27 16
13000000 32 13
14000000 32 16
15000000 36 17
16000000 37 16
17000000 40 18
18000000 41 18
19000000 44 18
20000000 50 18
21000000 48 19
22000000 53 17
23000000 53 17
24000000 60 18
25000000 58 17
26000000 62 17
27000000 65 17
28000000 65 17
29000000 68 15
30000000 69 17
31000000 84 17
32000000 74 15
33000000 77 15
34000000 51 11
35000000 51 11
36000000 64 12
37000000 34 18
38000000 32 17
39000000 33 17
40000000 33 17
41000000 7 17
42000000 8 17
43000000 9 18
44000000 101 18
45000000 104 18
46000000 108 19
47000000 119 21
48000000 111 19
49000000 113 19
50000000 27 18
51000000 27 18
52000000 29 18
53000000 116 19
54000000 119 21
55000000 128 16
56000000 130 20
57000000 145 20
58000000 135 18
59000000 136 17
60000000 139 17
61000000 141 18
62000000 143 17
63000000 146 19
64000000 78 15
65000000 80 15
66000000 38 18
67000000 40 19
68000000 167 20
69000000 160 19
70000000 164 17
71000000 164 17
72000000 68 18
73000000 66 18
74000000 20 19
75000000 20 17
76000000 146 18
77000000 148 19
78000000 100 20
79000000 54 22
80000000 48 12
81000000 188 18
82000000 190 18
83000000 133 18
84000000 135 18
85000000 81 19
86000000 26 20
87000000 27 18
88000000 209 18
89000000 212 19
90000000 218 19
91000000 213 18
92000000 213 20
93000000 216 20
94000000 217 19
95000000 95 19
96000000 96 19
97000000 233 21
98000000 227 20
99000000 229 20
